species	n_tusco_genes	n_total_genes	tusco_median_percentile	tusco_min_percentile	tusco_max_percentile	tusco_q25_percentile	tusco_q75_percentile
Human	46	1918	90.3545359749739	80.0834202294056	99.1657977059437	84.8540145985402	93.4958289885297
Mouse	32	906	96.523178807947	92.4944812362031	99.8896247240618	95.0883002207506	98.8134657836645
