figure_id	Species	Group	PlotGroup	median_value	log_median_value
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.2394525	0.91590362528229
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	954.9675	2.97998863715452
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.72515	0.940777879420903
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	82.3211	1.91551169253159
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	14.1352	1.15030503015571
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.38615	0.923567804883926
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	498.462	2.69763214281498
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	45.5868	1.65884006031627
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.33309	0.970030107048943
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.446835	0.926699152256525
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	13.52335	1.13108749965494
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	10.675	1.02837195201039
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	81.589	1.91163214250327
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	12.189	1.08597164003484
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	25.4326	1.40539246842801
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	20.5337	1.31246932766174
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	18.7885	1.2738944206047
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	39.5008	1.59660699083104
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	10.6255	1.02635346289477
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	17.0005	1.23046424914832
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	20.4077	1.30979618946091
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	111.878	2.04874508223898
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	48.0044	1.68128195057486
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	20.7894	1.31784404441313
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	86.6283	1.93766029318709
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.72955	0.988097217883707
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	17.899	1.25283119439552
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	32.4057	1.51062274732279
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	40.5804	1.60831739375458
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	6.53038	0.814945103739089
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	13.50735	1.13057336860329
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	28.7801	1.45909380761986
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	26.1542	1.41754310095663
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	16.0201	1.20466793361802
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.624525	0.935740220966035
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	43.6438	1.63992355201715
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	223.858	2.34997281335721
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.919255	0.996483433338862
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.0621	1.04384150606871
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	48.8379	1.68875787053188
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	14.4834	1.16087352367127
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	17.417	1.24097584534196
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	14.9343	1.17418777920506
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	129.908	2.11363623094702
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	12.3377	1.09123772590145
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	18.2989	1.26242735714309
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	25.7296	1.41043472250634
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	33.93215	1.5306126580591
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	15.78055	1.19812488769466
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.3334	0.97004453181192
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	25.0678	1.39911795355886
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.06915	1.04411819613655
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	8.7033	0.939688943743026
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	19.8455	1.29766423364127
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	7.53666	0.877184685852233
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	39.1214	1.59241549819209
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	283.7665	2.45296127664181
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	9.14353	0.961118643873509
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	27.8427	1.44471290778489
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	44.7528	1.65082118296344
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	10.78025	1.03263286109201
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	17.6432	1.24657981876359
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	11.77065	1.07080413578177
fig-1d	Human	Top_10k_Genes	Human_Top_10k_Genes	18.1876	1.2597777820506
