# Gene IDs passing expression filtering (universal) filter
# Total: 66
ENSG00000188636	ENST00000341255	RTL6	84247	NM_032287	NP_115663
ENSG00000165572	ENST00000379485	KBTBD6	89890	NM_152903	NP_690867
ENSG00000180730	ENST00000319420	SHISA2	387914	NM_001007538	NP_001007539
ENSG00000253797	ENST00000521776	UTP14C	9724	NM_021645	NP_067677
ENSG00000187566	ENST00000340650	NHLRC1	378884	NM_198586	NP_940988
ENSG00000281991	ENST00000615541	TMEM265	100862671	NM_001256829	NP_001243758
ENSG00000286224	ENST00000652508		128092249	NM_001414902	NP_001401831
ENSG00000182154	ENST00000371443	MRPL41	64975	NM_032477	NP_115866
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000155858	ENST00000286307	LSM11	134353	NM_173491	NP_775762
ENSG00000176396	ENST00000390658	EID2	163126	NM_153232	NP_694964
ENSG00000170604	ENST00000302165	IRF2BP1	26145	NM_015649	NP_056464
ENSG00000223496	ENST00000435634	EXOSC6	118460	NM_058219	NP_478126
ENSG00000288649	ENST00000677665	ACTL10	170487	NM_001024675	NP_001019846
ENSG00000198142	ENST00000356454	SOWAHC	65124	NM_023016	NP_075392
ENSG00000182810	ENST00000332395	DDX28	55794	NM_018380	NP_060850
ENSG00000221821	ENST00000408925	C6orf226	441150	NM_001008739	NP_001008739
ENSG00000176340	ENST00000314133	COX8A	1351	NM_004074	NP_004065
ENSG00000175602	ENST00000312579	CCDC85B	11007	NM_006848	NP_006839
ENSG00000204439	ENST00000375911	C6orf47	57827	NM_021184	NP_067007
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000182636	ENST00000649030	NDN	4692	NM_002487	NP_002478
ENSG00000182700	ENST00000333305	IGIP	492311	NM_001007189	NP_001007190
ENSG00000204366	ENST00000375527	ZBTB12	221527	NM_181842	NP_862825
ENSG00000262664	ENST00000572195	OVCA2	124641	NM_080822	NP_543012
ENSG00000178531	ENST00000318978	CTXN1	404217	NM_206833	NP_996664
ENSG00000179886	ENST00000504548	TIGD5	84948	NM_032862	NP_116251
ENSG00000179918	ENST00000478753	SEPHS2	22928	NM_012248	NP_036380
ENSG00000213402	ENST00000326294	PTPRCAP	5790	NM_005608	NP_005599
ENSG00000176020	ENST00000320431	AMIGO3	386724	NM_198722	NP_942015
ENSG00000120738	ENST00000239938	EGR1	1958	NM_001964	NP_001955
ENSG00000174236	ENST00000310791	REP15	387849	NM_001029874	NP_001025045
ENSG00000118804	ENST00000237642	STBD1	8987	NM_003943	NP_003934
ENSG00000186222	ENST00000320776	BLOC1S4	55330	NM_018366	NP_060836
ENSG00000105617	ENST00000222224	LENG1	79165	NM_024316	NP_077292
ENSG00000124216	ENST00000244050	SNAI1	6615	NM_005985	NP_005976
ENSG00000173110	ENST00000309758	HSPA6	3310	NM_002155	NP_002146
ENSG00000197238	ENST00000355057	H4C11	8363	NM_021968	NP_068803
ENSG00000185085	ENST00000330574	INTS5	80789	NM_030628	NP_085131
ENSG00000168792	ENST00000307201	ABHD15	116236	NM_198147	NP_937790
ENSG00000183779	ENST00000331569	ZNF703	80139	NM_025069	NP_079345
ENSG00000274997	ENST00000377459	H2AC12	85235	NM_080596	NP_542163
ENSG00000280789	ENST00000320330	PAGR1	79447	NM_024516	NP_078792
ENSG00000146066	ENST00000274787	HIGD2A	192286	NM_138820	NP_620175
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000119938	ENST00000238994	PPP1R3C	5507	NM_005398	NP_005389
ENSG00000169976	ENST00000367569	SF3B5	83443	NM_031287	NP_112577
ENSG00000205138	ENST00000378887	SDHAF1	644096	NM_001042631	NP_001036096
ENSG00000170385	ENST00000367001	SLC30A1	7779	NM_021194	NP_067017
ENSG00000196368	ENST00000375992	NUDT11	55190	NM_018159	NP_060629
ENSG00000177688	ENST00000326669	SUMO4	387082	NM_001002255	NP_001002255
ENSG00000177602	ENST00000325418	HASPIN	83903	NM_031965	NP_114171
ENSG00000135045	ENST00000376854	C9orf40	55071	NM_017998	NP_060468
ENSG00000183598	ENST00000331491	H3C13	653604	NM_001123375	NP_001116847
ENSG00000184270	ENST00000331128	H2AC21	317772	NM_175065	NP_778235
ENSG00000170684	ENST00000303809	ZNF296	162979	NM_145288	NP_660331
ENSG00000186603	ENST00000334815	HPDL	84842	NM_032756	NP_116145
ENSG00000173456	ENST00000311413	RNF26	79102	NM_032015	NP_114404
ENSG00000270170	ENST00000602845	NCBP2AS2	152217	NM_001355243	NP_001342172
ENSG00000127920	ENST00000248564	GNG11	2791	NM_004126	NP_004117
ENSG00000158246	ENST00000289166	TENT5B	115572	NM_052943	NP_443175
ENSG00000163794	ENST00000296099	UCN	7349	NM_003353	NP_003344
ENSG00000247626	ENST00000282276	MARS2	92935	NM_138395	NP_612404
ENSG00000255423	ENST00000533473	EBLN2	55096	NM_018029	NP_060499
ENSG00000176022	ENST00000379198	B3GALT6	126792	NM_080605	NP_542172
ENSG00000176422	ENST00000338146	SPRYD4	283377	NM_207344	NP_997227
