figure_id	pipeline	sample	species	eval_type	status	pipeline_id	pipeline_label	Sn	nrPre	1_red	1_FDR	PDR	rPre
fig-4b	flair_sq3	wtc11_cdna_pacbio	human	novel	ok	flair	FLAIR	65.21739130434783	71.42857142857143	100	71.42857142857143	69.56521739130434	85.71428571428571
fig-4b	flair_sq3	wtc11_cdna_ont	human	ref	ok	flair	FLAIR	73.91304347826086	77.27272727272727	95	77.27272727272727	82.6086956521739	90.9090909090909
fig-4b	flair_sq3	wtc11_cdna_ont	human	novel	ok	flair	FLAIR	43.47826086956522	33.33333333333333	69.23076923076923	33.333333333333336	78.26086956521739	86.66666666666667
fig-4b	flair_sq3	wtc11_captrap_ont	human	ref	ok	flair	FLAIR	56.52173913043478	76.47058823529412	100	76.47058823529412	65.21739130434783	88.23529411764706
fig-4b	flair_sq3	wtc11_captrap_ont	human	novel	ok	flair	FLAIR	17.391304347826086	22.22222222222222	71.42857142857143	22.22222222222222	43.47826086956522	77.77777777777779
fig-4b	flair_sq3	es_captrap_pacbio	mouse	ref	ok	flair	FLAIR	72	66.66666666666666	91.30434782608695	66.66666666666667	84	85.18518518518519
fig-4b	flair_sq3	es_captrap_pacbio	mouse	novel	ok	flair	FLAIR	52	50	90.9090909090909	50	80	84.61538461538461
fig-4b	flair_sq3	es_cdna_pacbio	mouse	ref	ok	flair	FLAIR	96	68.57142857142857	100	68.57142857142857	96	77.14285714285715
fig-4b	flair_sq3	es_cdna_pacbio	mouse	novel	ok	flair	FLAIR	68	41.46341463414634	87.99999999999999	41.463414634146346	88	68.29268292682927
fig-4b	flair_sq3	es_cdna_ont	mouse	ref	ok	flair	FLAIR	80	62.5	100	62.5	96	75
fig-4b	flair_sq3	es_cdna_ont	mouse	novel	ok	flair	FLAIR	44	26.82926829268293	74.07407407407408	26.82926829268293	80	65.85365853658537
fig-4b	flair_sq3	es_captrap_ont	mouse	ref	ok	flair	FLAIR	68	50	87.99999999999999	50	88	76.47058823529412
fig-4b	flair_sq3	es_captrap_ont	mouse	novel	ok	flair	FLAIR	48	24.489795918367346	75.86206896551725	24.489795918367353	88	61.224489795918366
fig-4b	isoseq_sq3	wtc11_cdna_pacbio	human	ref	ok	isoseq_sqanti3ml	Iso-Seq + SQ3 ML	52.17391304347826	57.14285714285714	100	57.14285714285714	91.30434782608695	100
fig-4b	isoseq_sq3	wtc11_cdna_pacbio	human	novel	ok	isoseq_sqanti3ml	Iso-Seq + SQ3 ML	52.17391304347826	63.1578947368421	100	63.1578947368421	82.6086956521739	100
fig-4b	isoseq_sq3	es_cdna_pacbio	mouse	ref	ok	isoseq_sqanti3ml	Iso-Seq + SQ3 ML	52	50	100	50	96	92.3076923076923
fig-4b	isoseq_sq3	es_cdna_pacbio	mouse	novel	ok	isoseq_sqanti3ml	Iso-Seq + SQ3 ML	44	55.00000000000001	100	55.00000000000001	80	100
