tool_id	tool	species	n_pairs	median_performance_drop_pct	median_score_reference	median_score_novel
bambu	Bambu	human	4	52.703184881723274	100	47.00828157349896
bambu	Bambu	mouse	4	45.21607924697578	98.07692307692308	53.730383815466055
stringtie2	StringTie2	human	4	30.47728851813838	75.78933747412009	53.15950655624569
stringtie2	StringTie2	mouse	4	49.86795750687993	82.10594702648676	40.62771392081737
flair	FLAIR	human	4	21.861652600597402	79.99099046733318	62.47665830546265
flair	FLAIR	mouse	4	22.670430485864	78.48523886205045	59.77380523277436
isoseq_sqanti3ml	Iso-Seq + SQANTI3 ML	human	1	-0.7284153395700859	76.29399585921325	76.84973302822273
isoseq_sqanti3ml	Iso-Seq + SQANTI3 ML	mouse	1	1.4325646401118	73.38461538461539	72.33333333333334
