tool_id	tool	species	n_pairs	mean_performance_drop_pct	median_performance_drop_pct	median_area_reference	median_area_novel
bambu	Bambu	human	4	77.33082822321607	81.2485372220722	2.598076211353316	0.48384462776652326
bambu	Bambu	mouse	4	72.42213444490541	74.41192080620698	2.4987907545585024	0.6393949555201228
stringtie2	StringTie2	human	4	57.24496224036081	55.34714673138939	1.454357879181476	0.6656001404991814
stringtie2	StringTie2	mouse	4	80.5268645586242	80.12276874158412	1.7329327459653296	0.3551367776515266
flair	FLAIR	human	4	42.888819644703624	38.875360495674414	1.6530519138564204	0.9890532671140025
flair	FLAIR	mouse	4	42.62535013412986	43.77190585784166	1.5710307460802126	0.8635767502037293
isoseq_sqanti3ml	Iso-Seq + SQ3 ML	human	1	-1.9051284518425824	-1.9051284518425824	1.471167378478534	1.4991950067801552
isoseq_sqanti3ml	Iso-Seq + SQ3 ML	mouse	1	2.7092620108964827	2.7092620108964827	1.3450040694159857	1.3085643851182867
