ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0022626	cytosolic ribosome	1/32	138/28779	0.007246376811594203	6.516983695652174	2.167485415268226	0.14264001909910007	0.2209521864476256	0.17369992005875964	Rps27rt	1
GO:0005795	Golgi stack	1/32	148/28779	0.006756756756756757	6.07664695945946	2.0658490783080956	0.15217259785490478	0.2311852928949515	0.18174460067691056	Vcpip1	1
GO:0001650	fibrillar center	1/32	154/28779	0.006493506493506494	5.839894480519481	2.0092433276882966	0.15784277462898189	0.23527507916395413	0.18495975577179605	Snai1	1
GO:0098982	GABA-ergic synapse	1/32	172/28779	0.005813953488372093	5.228742732558139	1.85587344944015	0.17463376052428137	0.2458709268778113	0.1932896027420502	Rps27rt	1
GO:0030672	synaptic vesicle membrane	1/32	173/28779	0.005780346820809248	5.198518786127168	1.8479899879753041	0.17555702125288686	0.2458709268778113	0.1932896027420502	Rab10	1
GO:0099501	exocytic vesicle membrane	1/32	173/28779	0.005780346820809248	5.198518786127168	1.8479899879753041	0.17555702125288686	0.2458709268778113	0.1932896027420502	Rab10	1
GO:0098798	mitochondrial protein-containing complex	1/32	175/28779	0.005714285714285714	5.139107142857143	1.832404446384	0.17740054217766132	0.2458709268778113	0.1932896027420502	Timm29	1
GO:0055037	recycling endosome	1/32	206/28779	0.0048543689320388345	4.365746359223301	1.6175067551277336	0.20546955959450142	0.2775018866488409	0.21815604679922204	Rab10	1
GO:0044391	ribosomal subunit	1/32	208/28779	0.004807692307692308	4.323768028846154	1.6051243449378139	0.20724824445926093	0.2775018866488409	0.21815604679922204	Rps27rt	1
GO:0030027	lamellipodium	1/32	221/28779	0.004524886877828055	4.069428733031675	1.528265556532489	0.21871602542925428	0.28797610014851815	0.22639027193554392	Brk1	1
GO:0030139	endocytic vesicle	1/32	233/28779	0.004291845493562232	3.8598444206008584	1.4623683065016653	0.22915891611484396	0.2967795798864373	0.23331106213590672	Rab10	1
GO:0090575	RNA polymerase II transcription regulator complex	1/32	249/28779	0.004016064257028112	3.6118222891566263	1.3810246815555072	0.2428726323592053	0.3066831884389141	0.241096710431658	Taf7	1
GO:0030658	transport vesicle membrane	1/32	251/28779	0.00398406374501992	3.583042828685259	1.3713295477695335	0.2445701376158429	0.3066831884389141	0.241096710431658	Rab10	1
GO:0005802	trans-Golgi network	1/32	259/28779	0.003861003861003861	3.4723696911196913	1.3335139436388754	0.25132336418066814	0.3085141003465705	0.24253606822715076	Rab10	1
GO:0005840	ribosome	1/32	262/28779	0.003816793893129771	3.432609732824427	1.3197151328063155	0.2538407154750264	0.3085141003465705	0.24253606822715076	Rps27rt	1
GO:0000775	chromosome, centromeric region	1/32	269/28779	0.0037174721189591076	3.34328531598513	1.2882843504915846	0.25968268824298224	0.30912912745584	0.24301956722044712	Snai1	1
GO:0061695	transferase complex, transferring phosphorus-containing groups	1/32	272/28779	0.003676470588235294	3.306410845588235	1.2751297974934428	0.26217280429799084	0.30912912745584	0.24301956722044712	Taf7	1
GO:0008021	synaptic vesicle	1/32	284/28779	0.0035211267605633804	3.1667033450704225	1.2242872367594797	0.27205237591571907	0.31606084849032073	0.2484688882202388	Rab10	1
GO:0070382	exocytic vesicle	1/32	301/28779	0.0033222591362126247	2.9878529900332227	1.1567028273177449	0.2858293521179732	0.3272538959031867	0.2572682192976418	Rab10	1
GO:0045121	membrane raft	1/32	344/28779	0.0029069767441860465	2.6143713662790695	1.0049977275987956	0.31955903667111873	0.35726882389724024	0.2808642319778437	Efhd2	1
GO:0098857	membrane microdomain	1/32	346/28779	0.002890173410404624	2.599259393063584	0.9985151206808496	0.32108970248992474	0.35726882389724024	0.2808642319778437	Efhd2	1
GO:0005938	cell cortex	1/32	365/28779	0.0027397260273972603	2.463955479452055	0.9391114647880902	0.33546564043410476	0.3680803554763094	0.2893636372165524	Rab10	1
GO:0005759	mitochondrial matrix	1/32	380/28779	0.002631578947368421	2.3666940789473685	0.8947889580455466	0.34660632707854544	0.37509451834527524	0.29487776925211506	Mrm2	1
GO:0098687	chromosomal region	1/32	390/28779	0.002564102564102564	2.3060096153846152	0.8663884606246787	0.35393270360425644	0.3778470754694089	0.29704167158820954	Snai1	1
GO:0030133	transport vesicle	1/32	438/28779	0.00228310502283105	2.053296232876712	0.7411208473891467	0.3880058008814802	0.4086994435951591	0.32129603160712045	Rab10	1
GO:0014069	postsynaptic density	1/32	464/28779	0.0021551724137931034	1.9382408405172413	0.6797889008761505	0.40572838138221434	0.4217439753841439	0.3315508933732777	Rps27rt	1
GO:0031252	cell leading edge	1/32	485/28779	0.002061855670103093	1.8543170103092783	0.6330700635315961	0.4196788453181569	0.4222998643287176	0.3319879013376994	Brk1	1
GO:0032279	asymmetric synapse	1/32	488/28779	0.0020491803278688526	1.8429175204918034	0.6265848231937132	0.42164568674488656	0.4222998643287176	0.3319879013376994	Rps27rt	1
GO:0005874	microtubule	1/32	489/28779	0.002044989775051125	1.839148773006135	0.624433146591213	0.4222998643287176	0.4222998643287176	0.3319879013376994	Bysl	1
