ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030315	T-tubule	2/40	53/19880	0.03773584905660377	18.754716981132074	5.811384543165211	0.005098050314503199	0.18351656426816362	0.14737087092614334	STBD1/SLC30A1	2
GO:0000315	organellar large ribosomal subunit	2/40	56/19880	0.03571428571428571	17.75	5.635982150097965	0.005675770028912276	0.18351656426816362	0.14737087092614334	MRPL41/MRPL50	2
GO:0005762	mitochondrial large ribosomal subunit	2/40	56/19880	0.03571428571428571	17.75	5.635982150097965	0.005675770028912276	0.18351656426816362	0.14737087092614334	MRPL41/MRPL50	2
GO:0000313	organellar ribosome	2/40	88/19880	0.022727272727272728	11.295454545454545	4.346087333131645	0.013548968477670837	0.1934837445889585	0.1553749007008457	MRPL41/MRPL50	2
GO:0005761	mitochondrial ribosome	2/40	88/19880	0.022727272727272728	11.295454545454545	4.346087333131645	0.013548968477670837	0.1934837445889585	0.1553749007008457	MRPL41/MRPL50	2
GO:0030532	small nuclear ribonucleoprotein complex	2/40	107/19880	0.018691588785046728	9.289719626168225	3.8605739549799134	0.019597290947491935	0.1934837445889585	0.1553749007008457	LSM11/SF3B5	2
GO:0101019	nucleolar exosome (RNase complex)	1/40	10/19880	0.1	49.7	6.916501194373828	0.019943992896822693	0.1934837445889585	0.1553749007008457	EXOSC6	1
GO:0005797	Golgi medial cisterna	1/40	11/19880	0.09090909090909091	45.18181818181818	6.581249422359844	0.02191692899567177	0.1934837445889585	0.1553749007008457	B3GALT6	1
GO:0015934	large ribosomal subunit	2/40	114/19880	0.017543859649122806	8.719298245614034	3.711310408195778	0.022063040356553994	0.1934837445889585	0.1553749007008457	MRPL41/MRPL50	2
GO:0044666	MLL3/4 complex	1/40	12/19880	0.08333333333333333	41.416666666666664	6.288259687235003	0.023885992503657638	0.1934837445889585	0.1553749007008457	PAGR1	1
GO:0120114	Sm-like protein family complex	2/40	119/19880	0.01680672268907563	8.352941176470589	3.612322713376114	0.02389909817218432	0.1934837445889585	0.1553749007008457	LSM11/SF3B5	2
GO:0000177	cytoplasmic exosome (RNase complex)	1/40	14/19880	0.07142857142857142	35.5	5.798081637357638	0.0278125313604769	0.1934837445889585	0.1553749007008457	EXOSC6	1
GO:0031083	BLOC-1 complex	1/40	15/19880	0.06666666666666667	33.13333333333333	5.590022457383416	0.029770021481567155	0.1934837445889585	0.1553749007008457	BLOC1S4	1
GO:0042383	sarcolemma	2/40	143/19880	0.013986013986013986	6.951048951048951	3.20684079262984	0.03353515199014682	0.1934837445889585	0.1553749007008457	STBD1/SLC30A1	2
GO:0000176	nuclear exosome (RNase complex)	1/40	17/19880	0.058823529411764705	29.23529411764706	5.229387013009465	0.033673479936632056	0.1934837445889585	0.1553749007008457	EXOSC6	1
GO:0031082	BLOC complex	1/40	20/19880	0.05	24.85	4.791485604989475	0.03949997322287091	0.1934837445889585	0.1553749007008457	BLOC1S4	1
GO:0099092	postsynaptic density, intracellular component	1/40	20/19880	0.05	24.85	4.791485604989475	0.03949997322287091	0.1934837445889585	0.1553749007008457	SLC30A1	1
GO:0000178	exosome (RNase complex)	1/40	21/19880	0.047619047619047616	23.666666666666664	4.66632567503662	0.04143451506935025	0.1934837445889585	0.1553749007008457	EXOSC6	1
GO:0032039	integrator complex	1/40	21/19880	0.047619047619047616	23.666666666666664	4.66632567503662	0.04143451506935025	0.1934837445889585	0.1553749007008457	INTS5	1
GO:0034045	phagophore assembly site membrane	1/40	21/19880	0.047619047619047616	23.666666666666664	4.66632567503662	0.04143451506935025	0.1934837445889585	0.1553749007008457	STBD1	1
GO:0005697	telomerase holoenzyme complex	1/40	22/19880	0.045454545454545456	22.59090909090909	4.549576213629892	0.04336525777528799	0.1934837445889585	0.1553749007008457	LSM11	1
