big_category	count	percentage	Type	pipeline	n	record_type	figure_id	panel_id	mean_perc	sd_perc	test_method	p_value	ci_lower	ci_upper	mean_diff_tusco_minus_sirvs	direction	t_statistic	df	p_value_stars
FN	11	23.91304347826087	TUSCO	ES_cdna_ont_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	84	100	SIRVs	ES_cdna_pacbio_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	0	0	SIRVs	ES_cdna_pacbio_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	0	0	SIRVs	ES_cdna_pacbio_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	0	0	SIRVs	ES_cdna_pacbio_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	34	82.92682926829268	TUSCO	ES_cdna_pacbio_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	3	7.317073170731708	TUSCO	ES_cdna_pacbio_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	2	4.878048780487805	TUSCO	ES_cdna_pacbio_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	2	4.878048780487805	TUSCO	ES_cdna_pacbio_ls	6	raw	fig-3	3b-mouse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	NA	NA	SIRVs	NA	NA	summary	fig-3	3b-mouse	4.600907364033713	4.18137861106675	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	NA	NA	TUSCO	NA	NA	summary	fig-3	3b-mouse	16.665221581514086	9.97311900666338	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	NA	NA	SIRVs	NA	NA	summary	fig-3	3b-mouse	5.893486159010014	7.504519411862278	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	NA	NA	TUSCO	NA	NA	summary	fig-3	3b-mouse	6.1630410608321755	3.6698672824130134	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	NA	NA	SIRVs	NA	NA	summary	fig-3	3b-mouse	1.8090800951625694	2.9213567023194704	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	NA	NA	TUSCO	NA	NA	summary	fig-3	3b-mouse	12.68548930368384	6.03493067529183	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	NA	NA	SIRVs	NA	NA	summary	fig-3	3b-mouse	87.6965263817937	11.437801741146423	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	NA	NA	TUSCO	NA	NA	summary	fig-3	3b-mouse	64.4862480539699	14.902185135448537	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	NA	NA	NA	NA	NA	stat	fig-3	3b-mouse	NA	NA	perm	0.015384615384615385	NA	NA	-23.210278327823804	SIRVs>TUSCO	NA	NA	*
PTP	NA	NA	NA	NA	NA	stat	fig-3	3b-mouse	NA	NA	perm	0.046153846153846156	NA	NA	10.87640920852127	TUSCO>SIRVs	NA	NA	*
FP	NA	NA	NA	NA	NA	stat	fig-3	3b-mouse	NA	NA	perm	0.8769230769230769	NA	NA	0.2695549018221617	TUSCO>SIRVs	NA	NA	ns
FN	NA	NA	NA	NA	NA	stat	fig-3	3b-mouse	NA	NA	perm	0.046153846153846156	NA	NA	12.064314217480371	TUSCO>SIRVs	NA	NA	*
