big_category	final_label	count	percentage	Type	pipeline	figure_id	panel_id	record_type	metric	sirv	tusco
TP	RM	43	82.6923076923077	TUSCO	WTC11_cdna_pacbio_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	8	15.384615384615385	TUSCO	WTC11_cdna_pacbio_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	Sn	89.28571428571429	70.83333333333334
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	nrPre	97.40259740259741	91.8918918918919
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	1/red	100	100
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	1-FDR	97.40259740259741	91.89189189189189
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	PDR	89.28571428571429	77.08333333333334
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	rPre	97.40259740259741	100
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	Sn	90.47619047619048	39.58333333333333
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	nrPre	72.38095238095238	48.888888888888886
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	1/red	98.76543209876544	75
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	1-FDR	72.38095238095238	48.88888888888889
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	PDR	95.23809523809523	68.75
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	rPre	77.14285714285715	100
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	Sn	100	83.33333333333334
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	nrPre	100	97.72727272727273
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	1/red	100	93.02325581395348
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	1-FDR	100	97.72727272727273
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	PDR	100	83.33333333333334
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	rPre	100	100
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	Sn	89.28571428571429	72.91666666666666
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	nrPre	97.40259740259741	92.6829268292683
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	1/red	100	92.68292682926828
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	1-FDR	97.40259740259741	92.6829268292683
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	PDR	89.28571428571429	79.16666666666666
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	rPre	97.40259740259741	100
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	Sn	90.47619047619048	39.58333333333333
NA	NA	NA	NA	NA	WTC11_cdna_ont_ls	fig-3	3a-human	radar_metrics	nrPre	72.38095238095238	48.888888888888886
