big_category	final_label	count	percentage	Type	pipeline	figure_id	panel_id	record_type	metric	sirv	tusco
FP	NNC	1	1.1764705882352942	SIRVs	WTC11_cdna_pacbio_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	84	98.82352941176471	SIRVs	WTC11_cdna_pacbio_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	0	0	SIRVs	WTC11_cdna_pacbio_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NIC	1	1.5151515151515151	TUSCO	WTC11_cdna_pacbio_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FP	NNC	1	1.5151515151515151	TUSCO	WTC11_cdna_pacbio_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
PTP	Alternative 3'5'end	3	4.545454545454546	TUSCO	WTC11_cdna_pacbio_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
TP	RM	54	81.81818181818183	TUSCO	WTC11_cdna_pacbio_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
FN	Missing	7	10.606060606060606	TUSCO	WTC11_cdna_pacbio_ls	fig-3	3a-human	bar_distribution	NA	NA	NA
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	Sn	89.28571428571429	65.51724137931035
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	nrPre	97.40259740259741	88.63636363636364
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	1/red	100	97.72727272727272
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	1-FDR	97.40259740259741	88.63636363636364
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	PDR	89.28571428571429	74.13793103448276
NA	NA	NA	NA	NA	WTC11_drna_ont	fig-3	3a-human	radar_metrics	rPre	97.40259740259741	100
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	Sn	90.47619047619048	44.827586206896555
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	nrPre	72.38095238095238	50.847457627118644
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	1/red	98.76543209876544	72.41379310344827
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	1-FDR	72.38095238095238	50.847457627118644
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	PDR	95.23809523809523	72.41379310344827
NA	NA	NA	NA	NA	WTC11_cdna_ont	fig-3	3a-human	radar_metrics	rPre	77.14285714285715	88.13559322033898
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	Sn	100	84.48275862068965
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	nrPre	100	93.10344827586206
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	1/red	100	89.47368421052632
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	1-FDR	100	93.10344827586206
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	PDR	100	87.93103448275862
NA	NA	NA	NA	NA	WTC11_cdna_pacbio	fig-3	3a-human	radar_metrics	rPre	100	96.55172413793103
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	Sn	89.28571428571429	67.24137931034483
NA	NA	NA	NA	NA	WTC11_drna_ont_ls	fig-3	3a-human	radar_metrics	nrPre	97.40259740259741	89.58333333333334
