Type	pipeline	gene_name
SIRVs	WTC11_drna_ont	novel
TUSCO	WTC11_cdna_ont	ENSG00000146066
SIRVs	WTC11_cdna_ont	novel
TUSCO	WTC11_cdna_pacbio	ENSG00000135045
SIRVs	WTC11_drna_ont_ls	novel
TUSCO	WTC11_cdna_ont_ls	ENSG00000146066
SIRVs	WTC11_cdna_ont_ls	novel
TUSCO	WTC11_cdna_pacbio_ls	ENSG00000135045
TUSCO	WTC11_cdna_pacbio_ls	ENSG00000145337
SIRVs	WTC11_cdna_pacbio_ls	novel
