big_category	final_label	count	percentage	Type	pipeline	figure_id	panel_id	record_type	metric	sirv	tusco
PTP	Alternative 3'5'end	2	4.651162790697675	TUSCO	es_cdna_pacbio_ls	fig-3	3a-mouse	bar_distribution	NA	NA	NA
TP	RM	34	79.06976744186046	TUSCO	es_cdna_pacbio_ls	fig-3	3a-mouse	bar_distribution	NA	NA	NA
FN	Missing	4	9.30232558139535	TUSCO	es_cdna_pacbio_ls	fig-3	3a-mouse	bar_distribution	NA	NA	NA
NA	NA	NA	NA	NA	es_drna_ont	fig-3	3a-mouse	radar_metrics	Sn	90.47619047619048	55.88235294117647
NA	NA	NA	NA	NA	es_drna_ont	fig-3	3a-mouse	radar_metrics	nrPre	97.43589743589743	80.76923076923077
NA	NA	NA	NA	NA	es_drna_ont	fig-3	3a-mouse	radar_metrics	1/red	100	92
NA	NA	NA	NA	NA	es_drna_ont	fig-3	3a-mouse	radar_metrics	1-FDR	97.43589743589743	80.76923076923077
NA	NA	NA	NA	NA	es_drna_ont	fig-3	3a-mouse	radar_metrics	PDR	90.47619047619048	67.64705882352942
NA	NA	NA	NA	NA	es_drna_ont	fig-3	3a-mouse	radar_metrics	rPre	97.43589743589743	96.15384615384616
NA	NA	NA	NA	NA	es_cdna_ont	fig-3	3a-mouse	radar_metrics	Sn	89.28571428571429	61.76470588235294
NA	NA	NA	NA	NA	es_cdna_ont	fig-3	3a-mouse	radar_metrics	nrPre	75	60
NA	NA	NA	NA	NA	es_cdna_ont	fig-3	3a-mouse	radar_metrics	1/red	97.56097560975611	71.42857142857143
NA	NA	NA	NA	NA	es_cdna_ont	fig-3	3a-mouse	radar_metrics	1-FDR	75	60
NA	NA	NA	NA	NA	es_cdna_ont	fig-3	3a-mouse	radar_metrics	PDR	95.23809523809523	73.52941176470588
NA	NA	NA	NA	NA	es_cdna_ont	fig-3	3a-mouse	radar_metrics	rPre	82	70
NA	NA	NA	NA	NA	es_cdna_pacbio	fig-3	3a-mouse	radar_metrics	Sn	100	85.29411764705883
NA	NA	NA	NA	NA	es_cdna_pacbio	fig-3	3a-mouse	radar_metrics	nrPre	100	87.17948717948718
NA	NA	NA	NA	NA	es_cdna_pacbio	fig-3	3a-mouse	radar_metrics	1/red	100	83.33333333333334
NA	NA	NA	NA	NA	es_cdna_pacbio	fig-3	3a-mouse	radar_metrics	1-FDR	100	87.17948717948718
NA	NA	NA	NA	NA	es_cdna_pacbio	fig-3	3a-mouse	radar_metrics	PDR	100	88.23529411764706
NA	NA	NA	NA	NA	es_cdna_pacbio	fig-3	3a-mouse	radar_metrics	rPre	100	89.74358974358975
NA	NA	NA	NA	NA	es_drna_ont_ls	fig-3	3a-mouse	radar_metrics	Sn	90.47619047619048	55.88235294117647
NA	NA	NA	NA	NA	es_drna_ont_ls	fig-3	3a-mouse	radar_metrics	nrPre	97.43589743589743	80.76923076923077
NA	NA	NA	NA	NA	es_drna_ont_ls	fig-3	3a-mouse	radar_metrics	1/red	100	92
