config_name	species	pipeline	sweep_type	n_genes	n_single_exon	n_multi_exon	n_observed	n_tp	n_ptp	n_fn	n_fp_total	n_fp_nic	n_fp_nnc	n_fp_genic	n_fp_antisense	n_fp_intergenic	n_fp_fusion	n_fp_other	sensitivity	precision	redundant_precision	false_discovery_rate	false_detection_rate
mmu_prev_more_lenient	mmu	ES_cdna_ont	default	58	29	29	46	29	12	27	5	5	0	0	0	0	0	0	0.4482758620689655	0.6304347826086957	0.8913043478260869	0.3695652173913043	0.10869565217391304
mmu_prev_more_lenient	mmu	ES_cdna_pacbio	default	58	29	29	45	40	3	22	2	2	0	0	0	0	0	0	0.603448275862069	0.8888888888888888	0.9555555555555556	0.1111111111111111	0.044444444444444446
mmu_prev_more_lenient	mmu	ES_drna_ont_ls	default	58	29	29	30	25	4	30	1	0	0	1	0	0	0	0	0.39655172413793105	0.8333333333333334	0.9666666666666667	0.16666666666666666	0.03333333333333333
mmu_prev_more_lenient	mmu	ES_cdna_ont_ls	default	58	29	29	40	28	7	32	5	4	1	0	0	0	0	0	0.43103448275862066	0.7	0.875	0.3	0.125
mmu_prev_more_lenient	mmu	ES_cdna_pacbio_ls	default	58	29	29	45	40	3	22	2	2	0	0	0	0	0	0	0.603448275862069	0.8888888888888888	0.9555555555555556	0.1111111111111111	0.044444444444444446
mmu_prev_strict	mmu	ES_drna_ont	default	30	7	23	26	21	4	6	1	0	0	1	0	0	0	0	0.6333333333333333	0.8076923076923077	0.9615384615384616	0.19230769230769232	0.038461538461538464
mmu_prev_strict	mmu	ES_cdna_ont	default	30	7	23	38	22	11	7	5	5	0	0	0	0	0	0	0.6333333333333333	0.5789473684210527	0.868421052631579	0.42105263157894735	0.13157894736842105
mmu_prev_strict	mmu	ES_cdna_pacbio	default	30	7	23	37	32	3	2	2	2	0	0	0	0	0	0	0.9	0.8648648648648649	0.9459459459459459	0.13513513513513514	0.05405405405405406
mmu_prev_strict	mmu	ES_drna_ont_ls	default	30	7	23	26	21	4	6	1	0	0	1	0	0	0	0	0.6333333333333333	0.8076923076923077	0.9615384615384616	0.19230769230769232	0.038461538461538464
mmu_prev_strict	mmu	ES_cdna_ont_ls	default	30	7	23	33	21	7	11	5	4	1	0	0	0	0	0	0.6	0.6363636363636364	0.8484848484848485	0.36363636363636365	0.15151515151515152
mmu_prev_strict	mmu	ES_cdna_pacbio_ls	default	30	7	23	37	32	3	2	2	2	0	0	0	0	0	0	0.9	0.8648648648648649	0.9459459459459459	0.13513513513513514	0.05405405405405406
