pipeline_label	sensitivity_TUSCO	sensitivity_MAJIQ-L	fn_rate_TUSCO	fn_rate_MAJIQ-L	fdr_TUSCO	fdr_MAJIQ-L
cDNA-PacBio	84.31372549019608	63.677754468252736	15.384615384615383	36.322245531747264	2.272727272727273	3.4241293791551173
cDNA-PacBio (LS)	84.31372549019608	65.29832629467107	15.384615384615383	34.70167370532892	2.272727272727273	3.5727813852813854
dRNA-ONT	75.55555555555556	26.49941827975705	22.916666666666668	73.50058172024295	8.108108108108109	1.9972218457785609
dRNA-ONT (LS)	79.16666666666666	26.978535897177515	19.607843137254903	73.02146410282249	7.317073170731708	2.0244194557189434
cDNA-ONT	59.45945945945946	37.03771562583021	25	62.96228437416978	51.111111111111114	7.738298989069167
cDNA-ONT (LS)	59.45945945945946	38.276275891131284	25	61.723724108868716	51.111111111111114	8.085574437661553
