pipeline	eval_type	sample	species	label	metric	n	mean	sd	median	q1	q3	iqr
flair_sq3	novel_evl	es_drna_ont	mouse	PTP	isoform_cov	24	0.508868238937561	0.295662905898306	0.48197654344193	0.30890520060791	0.745665776681003	0.436760576073092
flair_sq3	novel_evl	wtc11_captrap_ont	human	PTP	isoform_cov	20	0.244009851662899	0.15326938420903	0.2263349627539	0.11794708320051	0.355735492577598	0.237788409377088
flair_sq3	novel_evl	wtc11_captrap_ont	human	TP	isoform_cov	8	0.826432593574031	0.321384387069107	1	0.826432593574031	1	0.173567406425969
flair_sq3	novel_evl	wtc11_captrap_pacbio	human	TP	isoform_cov	20	0.744078048533878	0.346386320396062	1	0.381259679917398	1	0.618740320082602
flair_sq3	novel_evl	wtc11_captrap_pacbio	human	PTP	isoform_cov	10	0.25045143563352	0.0821602188694974	0.237246963562753	0.210796221322537	0.262016163334751	0.0512199420122141
flair_sq3	novel_evl	wtc11_cdna_ont	human	PTP	isoform_cov	32	0.285691238789143	0.249755776966891	0.191920495611771	0.172061485340705	0.272756273925989	0.100694788585284
flair_sq3	novel_evl	wtc11_cdna_ont	human	TP	isoform_cov	20	0.823485495017698	0.305666347755448	1	0.653874004344678	1	0.346125995655322
flair_sq3	novel_evl	wtc11_cdna_pacbio	human	TP	isoform_cov	36	0.891122062932803	0.253387462886747	1	0.998659574720695	1	0.00134042527930478
flair_sq3	novel_evl	wtc11_cdna_pacbio	human	PTP	isoform_cov	13	0.68433534261043	0.530366311889372	0.536367503190132	0.189618348964621	1.21993127147766	1.03031292251304
flair_sq3	ref_evl	es_captrap_ont	mouse	PTP	isoform_cov	16	0.272894014848047	0.196258599632095	0.219669324477404	0.121320973360482	0.373816991910749	0.252496018550267
flair_sq3	ref_evl	es_captrap_ont	mouse	TP	isoform_cov	34	1	0	1	1	1	0
flair_sq3	ref_evl	es_captrap_pacbio	mouse	TP	isoform_cov	36	1	0	1	1	1	0
flair_sq3	ref_evl	es_captrap_pacbio	mouse	PTP	isoform_cov	10	0.394936009756329	0.239417647827895	0.439068642273964	0.193897637795276	0.528068506184586	0.334170868389311
flair_sq3	ref_evl	es_cdna_ont	mouse	TP	isoform_cov	40	1	0	1	1	1	0
flair_sq3	ref_evl	es_cdna_ont	mouse	PTP	isoform_cov	8	0.636482621813244	0.216563103281556	0.689898747944755	0.5883487209936	0.738032648764399	0.149683927770799
flair_sq3	ref_evl	es_cdna_pacbio	mouse	PTP	isoform_cov	39	0.698295541526131	0.508949006014598	0.557602490918526	0.399015190566559	0.851256530074446	0.452241339507887
flair_sq3	ref_evl	es_cdna_pacbio	mouse	TP	isoform_cov	62	0.998210132734533	0.0071708021990429	1	1	1	0
flair_sq3	ref_evl	es_drna_ont	mouse	TP	isoform_cov	42	1	0	1	1	1	0
flair_sq3	ref_evl	wtc11_captrap_ont	human	TP	isoform_cov	26	1	0	1	1	1	0
flair_sq3	ref_evl	wtc11_captrap_ont	human	PTP	isoform_cov	4	0.314238172806497	0.113166996988757	0.314238172806497	0.216232678544236	0.412243667068758	0.196010988524521
flair_sq3	ref_evl	wtc11_captrap_pacbio	human	TP	isoform_cov	24	1	0	1	1	1	0
flair_sq3	ref_evl	wtc11_captrap_pacbio	human	PTP	isoform_cov	6	0.250998017090033	0.10966742411079	0.210796221322537	0.167849452082803	0.344197031039136	0.176347578956334
flair_sq3	ref_evl	wtc11_cdna_ont	human	TP	isoform_cov	34	1	0	1	1	1	0
flair_sq3	ref_evl	wtc11_cdna_ont	human	PTP	isoform_cov	6	0.115256728011394	0.065356395245482	0.139927623642943	0.0597649118495207	0.16458082026538	0.104815908415859
flair_sq3	ref_evl	wtc11_cdna_pacbio	human	PTP	isoform_cov	16	0.737335025416388	0.475666151192344	0.734205420775543	0.272224731126047	1.06577816756493	0.793553436438884
flair_sq3	ref_evl	wtc11_cdna_pacbio	human	TP	isoform_cov	51	0.999012294864848	0.00574738862010573	1	1	1	0
isoseq_sq3	novel_evl	es_cdna_pacbio	mouse	PTP	isoform_cov	9	1.253610503213	0.763308118419025	1.05963880722386	0.838170347003155	1.21760221760222	0.379431870599063
