Tissue	Samples	Combo	Metric	Value	SamplesLabel	figure_id	panel_id	dataset	N	Mean	SD	SE	CI_lower	CI_upper	Sample	Type	Sn	nrPre	1/red	1-FDR	PDR	rPre
Brain	1	B31.isoforms	Sensitivity	78.125	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	Non-redundant Precision	69.44444444444444	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	Inv. Redundancy	80	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	1 - FDR	69.44444444444444	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	PDR	87.5	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B31.isoforms	F1	73.52941176470587	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	Sensitivity	73.4375	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	Non-redundant Precision	64.38356164383562	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	Inv. Redundancy	80.30303030303031	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	1 - FDR	64.38356164383562	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	PDR	82.8125	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B32.isoforms	F1	68.61313868613139	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	Sensitivity	76.5625	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	Non-redundant Precision	65.33333333333333	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	Inv. Redundancy	76.81159420289856	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	1 - FDR	65.33333333333333	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	PDR	82.8125	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B33.isoforms	F1	70.50359712230217	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brain	1	B34.isoforms	Sensitivity	67.1875	1	fig-5	5b_points	5b_points	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
